Dept,Gender,Clin,Cert,Prate,Exper,Rank
4,0,0,1,6.3,5,1
4,0,1,0,4,4,2
4,0,1,1,3,7,1
4,0,0,1,5.5,3,1
4,0,1,1,3.1,10,1
4,0,1,1,3.7,1,1
5,1,1,1,3.7,11,1
5,1,1,0,3.2,13,2
5,1,1,1,4.3,9,2
5,1,1,1,3.2,4,1
5,1,0,1,5.6,11,3
5,1,1,1,4,13,2
5,1,1,1,3.1,18,3
5,1,0,1,5.2,12,3
5,1,1,1,4,14,3
5,1,1,1,3.7,10,2
5,1,1,1,3.2,11,2
5,1,1,1,3.1,10,3
5,1,1,1,4.5,15,3
5,1,1,1,4.4,8,2
5,1,1,1,4.2,7,1
5,1,1,1,3.6,12,2
5,1,0,0,5.7,15,3
5,1,1,1,3.7,13,3
5,1,1,1,3.6,8,3
5,1,1,1,4.8,6,1
5,1,1,1,4,5,1
5,1,1,1,3.1,22,3
5,1,1,1,3.5,2,1
5,1,1,1,3.1,18,3
5,1,1,1,3,4,1
5,1,1,1,3,5,1
5,1,1,1,4,6,1
5,1,0,1,5.9,6,1
5,1,1,1,3.3,8,2
5,1,1,1,2.7,5,1
5,1,1,1,3.4,37,3
5,1,1,0,2.4,3,1
5,1,1,1,3.8,14,2
5,1,1,1,3.2,7,1
5,1,0,0,5.1,8,3
5,1,1,1,3.5,14,2
5,1,1,0,2.9,8,2
5,1,1,1,3.5,25,3
5,1,1,1,3.4,5,1
5,1,0,1,5.1,8,2
5,1,0,1,4.7,21,3
5,1,1,1,4,18,3
5,1,0,0,5.1,2,1
5,1,0,1,4.6,10,2
5,1,1,0,3.6,26,3
5,1,1,0,3.3,5,1
5,1,1,0,3.9,10,2
5,1,1,1,3.3,16,3
5,1,1,1,3.6,8,1
5,1,1,1,3,15,3
5,0,1,0,4.2,3,1
5,0,1,1,4.1,5,1
5,0,1,1,3.9,2,1
5,0,1,1,3.6,14,3
5,0,1,1,3.8,5,1
5,0,1,1,3.1,13,3
5,0,1,1,3.6,4,1
5,0,1,1,3.8,4,1
5,0,1,1,4.7,7,1
5,0,1,1,2.9,7,1
5,0,1,0,2.9,1,1
5,0,1,0,3.8,5,1
5,0,1,1,2.8,7,1
5,0,0,1,5.1,6,1
5,0,1,1,3.7,5,1
5,0,1,1,3.7,6,1
5,0,1,1,4,12,1
5,0,1,1,3.8,6,1
5,0,1,1,3.8,6,1
5,0,1,1,3.7,8,2
5,0,1,0,3.4,3,1
5,0,1,1,4.3,6,1
5,0,1,1,3.9,10,2
5,0,1,0,3.9,2,1
5,0,0,1,5.8,23,3
5,0,1,1,4.5,8,3
5,0,0,1,4.6,9,2
5,0,1,1,4,5,1
5,0,0,1,5.4,14,1
5,0,0,1,5.4,3,1
6,1,1,1,2.7,6,1
6,1,1,1,2.1,5,1
6,1,1,1,1.9,21,2
6,1,1,1,2.1,16,3
6,1,1,1,2.5,13,3
6,1,1,1,2.4,21,3
6,1,1,1,2.5,5,2
6,1,1,1,3.2,11,3
6,1,1,1,2.4,22,3
6,1,1,1,2.5,5,1
6,1,1,1,2.4,27,3
6,1,1,1,1.9,5,1
6,1,1,1,2.9,6,1
6,1,1,1,2.7,7,1
6,1,0,1,4.4,11,2
6,1,1,1,2.2,13,2
6,1,1,1,2.8,7,1
6,1,1,1,2.7,12,3
6,1,1,1,2.4,10,2
6,1,1,1,3.2,10,3
6,1,1,1,2.3,8,3
6,1,1,1,2.1,5,2
6,1,1,1,1.9,12,1
6,1,1,1,2.5,7,1
6,1,1,1,1.3,7,1
6,1,1,1,2.5,14,1
6,1,1,1,2.9,14,2
6,1,1,0,3.1,16,2
6,1,1,1,3,6,1
6,1,1,1,3.3,15,1
6,1,1,0,2.4,2,1
6,1,1,1,3.2,25,3
6,1,1,1,3,15,1
6,1,1,1,2.9,5,1
6,1,1,1,2.7,10,3
6,0,1,1,2.9,8,2
6,0,1,1,2.6,9,3
6,0,1,1,2.8,8,1
6,0,1,1,2.4,2,1
6,0,1,1,3.2,5,1
