Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
3,115,0,30.0,0,0,81,1
3,241,1,22.0,0,0,58,0
3,467,1,29.0,0,0,64,1
3,95,0,31.0,0,0,32,1
1,375,1,28.0,0,0,180,0
2,89,0,17.0,0,0,72,1
3,832,0,33.0,3,0,106,1
3,745,1,16.0,1,3,165,0
3,665,1,20.0,0,0,43,0
1,179,0,23.0,3,2,246,1
3,371,1,24.0,0,0,43,0
3,349,1,29.0,0,0,43,0
3,607,1,20.0,0,0,36,0
1,433,1,46.0,1,0,198,0
3,294,1,26.0,1,2,122,0
3,316,1,59.0,0,0,18,0
3,311,1,22.0,0,0,43,0
1,390,1,71.0,0,0,166,0
1,725,1,23.0,0,1,201,1
2,825,0,34.0,0,1,129,1
2,670,1,34.0,1,0,138,0
3,214,0,28.0,0,0,40,0
3,602,1,29.0,0,0,40,0
1,638,1,21.0,0,1,212,0
3,406,1,33.0,0,0,53,0
3,267,1,37.0,2,0,41,0
3,680,1,28.0,0,0,40,0
3,71,0,21.0,0,0,24,1
3,249,1,29.0,0,0,31,1
3,698,1,38.0,0,0,40,0
3,92,0,28.0,1,0,133,1
1,712,1,47.0,0,0,187,0
3,150,0,14.5,1,0,94,0
3,321,1,22.0,0,0,43,0
3,168,0,20.0,1,0,66,0
3,183,0,17.0,0,0,95,0
3,333,1,21.0,0,0,41,0
3,603,1,70.5,0,0,30,0
2,742,1,29.0,1,0,123,0
1,627,1,24.0,0,1,244,0
3,123,0,2.0,4,2,158,0
2,673,1,21.0,2,0,208,0
3,545,1,19.0,0,0,43,0
2,587,1,32.5,1,0,154,0
2,230,0,32.5,0,0,85,1
1,614,1,54.0,0,1,212,0
3,25,1,12.0,1,0,75,1
3,561,1,19.0,0,0,30,0
3,388,1,24.0,0,0,15,1
3,73,0,2.0,1,1,127,1
3,473,1,45.0,0,0,10,0
3,515,1,33.0,0,0,40,0
3,327,1,20.0,0,0,12,0
3,769,0,47.0,1,0,96,0
2,833,0,29.0,1,0,138,1
2,659,1,25.0,0,0,85,0
2,351,1,23.0,0,0,98,0
1,144,0,19.0,0,2,140,1
1,452,1,37.0,1,0,189,0
3,595,1,16.0,0,0,59,0
1,706,1,24.0,0,0,216,0
3,829,0,40.0,0,2,101,0
3,75,0,22.0,0,0,30,1
3,842,0,24.0,1,0,106,1
3,470,1,19.0,0,0,7,0
2,331,1,18.0,0,0,76,0
2,507,1,19.0,1,1,169,0
3,281,1,27.0,0,0,33,1
3,220,0,9.0,2,2,165,0
2,573,1,36.5,0,2,138,0
2,884,1,42.0,0,0,85,0
2,883,1,51.0,0,0,82,0
1,856,0,22.0,1,0,203,1
3,255,1,55.5,0,0,43,0
3,286,1,40.5,0,2,96,0
3,596,1,27.0,0,0,19,0
1,302,1,51.0,0,1,199,0
3,164,0,16.0,0,0,27,1
3,417,1,30.0,0,0,43,0
3,575,1,37.0,0,0,54,0
3,47,1,5.0,8,2,205,0
3,495,1,44.0,0,1,109,0
2,814,0,40.0,0,0,105,1
3,503,1,26.0,0,0,31,0
3,514,1,17.0,0,0,54,0
3,24,1,1.0,4,1,175,0
3,28,1,9.0,0,2,121,1
1,757,0,48.0,0,1,190,1
3,865,0,45.0,1,4,147,0
1,488,1,60.0,0,0,136,0
3,539,1,28.0,0,0,193,0
1,749,1,61.0,0,0,163,0
3,17,1,4.0,4,1,151,0
3,109,0,1.0,1,1,74,1
3,274,1,21.0,0,0,41,0
1,456,1,56.0,0,0,156,0
3,529,1,18.0,1,1,36,0
3,37,1,5.0,3,1,134,0
1,69,0,50.0,0,0,149,0
2,633,1,30.0,0,0,85,0
3,550,1,36.0,0,0,0,0
3,101,0,8.0,8,2,205,0
2,636,1,39.0,0,0,99,0
3,20,1,9.0,4,2,159,0
2,44,1,1.0,2,1,172,1
3,177,0,4.0,0,2,126,1
1,437,1,39.0,0,0,183,0
3,857,0,26.0,1,0,102,1
1,308,1,45.0,0,0,143,1
3,487,1,40.0,1,1,102,0
3,679,1,36.0,0,0,40,0
2,766,0,32.0,0,0,85,1
2,728,1,19.0,0,0,85,0
3,96,0,19.0,1,0,36,1
2,43,1,3.0,1,1,138,1
1,816,0,44.0,0,0,145,1
1,113,0,58.0,0,0,236,1
3,649,1,28.0,0,0,30,0
3,527,1,42.0,0,1,49,0
3,190,0,21.0,0,0,30,1
2,147,0,24.0,0,0,85,0
3,586,1,28.0,0,0,64,0
3,384,1,17.0,8,2,205,0
3,453,1,34.0,0,0,6,0
3,401,1,45.5,0,0,16,0
3,404,1,18.0,0,0,43,1
3,231,0,2.0,0,1,71,0
3,521,1,32.0,1,0,106,0
3,583,1,26.0,0,0,115,1
3,141,0,16.0,0,0,30,1
1,424,1,40.0,0,0,157,1
3,245,1,24.0,0,0,12,0
2,100,0,35.0,0,0,123,1
3,497,1,22.0,0,0,18,0
2,412,1,30.0,0,0,85,0
3,624,1,22.0,1,0,30,0
1,181,0,31.0,1,0,231,1
3,110,0,27.0,0,0,41,1
2,667,1,42.0,1,0,144,0
1,59,0,32.0,0,0,210,1
2,714,1,30.0,0,0,72,0
3,705,1,16.0,0,0,43,1
2,460,1,27.0,0,0,85,0
3,395,1,51.0,0,0,43,0
3,314,1,22.0,0,0,40,0
1,383,1,38.0,1,0,225,1
3,525,1,22.0,0,0,61,0
2,741,1,19.0,0,0,72,1
3,494,1,20.5,0,0,18,0
2,276,1,18.0,0,0,85,0
3,213,0,12.0,3,1,134,0
1,808,0,35.0,1,0,222,1
3,287,1,29.0,0,0,31,0
2,360,1,59.0,0,0,87,0
3,174,0,5.0,4,2,159,1
2,650,1,24.0,0,0,72,0
3,63,0,21.0,0,0,22,0
2,677,1,44.0,1,0,138,0
2,202,0,8.0,0,2,139,1
2,386,1,19.0,0,0,72,0
2,396,1,33.0,0,0,78,0
3,232,0,19.0,1,0,94,0
3,166,0,18.0,1,0,102,1
2,631,1,29.0,0,0,72,0
3,565,1,22.0,0,0,14,0
3,671,1,30.0,0,0,16,0
1,10,1,44.0,2,0,225,0
3,57,0,25.0,0,0,31,0
2,867,0,24.0,0,2,96,1
1,643,1,37.0,1,1,188,1
2,880,1,54.0,1,0,138,0
3,459,1,18.0,0,0,18,0
3,864,0,29.0,1,1,71,0
1,747,1,62.0,0,0,143,0
3,723,1,30.0,1,0,109,0
3,862,0,41.0,0,2,119,0
3,780,0,29.0,0,2,101,1
1,805,0,38.0,0,0,216,1
1,134,0,30.0,0,0,223,1
1,78,0,35.0,0,0,247,1
2,762,0,50.0,0,1,138,1
3,23,1,3.0,4,2,159,1
1,350,1,52.0,1,1,217,0
1,731,1,40.0,0,0,0,0
3,104,0,21.0,0,0,30,0
2,323,1,36.0,0,0,72,0
3,359,1,16.0,4,1,175,0
3,362,1,25.0,1,0,31,1
1,877,0,58.0,0,1,238,1
1,65,0,35.0,0,0,235,1
1,251,1,28.0,0,0,157,0
3,736,1,25.0,0,0,0,1
2,758,0,41.0,0,1,117,1
1,307,1,37.0,0,1,152,0
3,136,0,33.0,0,0,30,1
1,169,0,63.0,1,0,213,1
3,84,0,45.0,0,0,30,0
2,373,1,21.0,0,0,0,0
3,26,1,7.0,4,1,151,0
3,854,0,35.0,1,1,120,1
3,376,1,65.0,0,0,30,0
3,592,1,28.0,0,0,36,0
3,254,1,16.0,0,0,64,0
3,334,1,19.0,0,0,43,1
1,645,1,57.0,0,0,138,0
3,448,1,33.0,0,0,54,0
3,685,1,30.0,0,0,64,1
3,611,1,22.0,0,0,40,0
2,563,1,42.0,0,0,85,1
3,162,0,22.0,0,0,30,1
1,119,0,26.0,0,0,215,1
1,781,0,19.0,1,0,226,1
2,635,1,36.0,0,0,84,0
3,64,0,24.0,0,0,57,0
3,446,1,24.0,0,0,40,0
1,364,1,30.0,0,0,145,0
3,556,1,23.5,0,0,17,0
1,142,0,2.0,1,2,237,0
1,244,1,47.0,0,0,155,1
1,815,0,50.0,0,1,244,1
3,70,0,20.0,0,0,30,1
3,292,1,24.0,2,0,130,1
3,726,1,19.0,0,0,0,0
2,215,0,46.0,0,0,80,1
3,436,1,28.0,0,0,43,0
1,38,1,0.92,1,2,237,1
1,188,0,42.0,0,0,230,1
1,861,0,17.0,1,0,229,1
2,655,1,30.0,1,0,132,0
1,172,0,30.0,0,0,194,1
1,185,0,24.0,0,0,221,1
1,126,0,18.0,2,2,245,1
2,866,0,26.0,1,1,138,0
3,440,1,28.0,0,0,40,0
2,289,1,43.0,1,1,139,0
3,146,0,26.0,0,0,36,1
2,852,0,24.0,1,0,138,1
2,7,1,54.0,0,0,91,0
1,212,0,31.0,0,2,239,1
1,797,0,40.0,1,1,234,1
3,657,1,22.0,0,0,18,0
3,750,1,27.0,0,0,40,0
2,148,0,30.0,0,0,80,1
2,768,0,22.0,1,1,150,1
3,397,1,20.0,8,2,205,0
1,197,0,36.0,0,0,235,1
3,475,1,61.0,0,0,3,0
2,753,0,36.0,0,0,85,1
3,795,0,31.0,1,1,121,1
1,156,0,16.0,0,1,196,1
3,58,0,28.0,2,0,130,1
1,285,1,45.5,0,0,148,0
1,392,1,38.0,0,1,238,0
3,541,1,16.0,2,0,113,0
1,810,0,42.0,1,0,233,1
3,579,1,30.0,0,0,40,0
1,687,1,29.0,1,0,203,0
1,116,0,41.0,0,0,234,1
3,522,1,45.0,0,0,43,1
1,678,1,45.0,0,0,168,0
2,22,1,2.0,1,1,138,1
1,61,0,24.0,3,2,246,1
2,354,1,28.0,0,0,85,0
2,305,1,25.0,0,0,85,0
2,674,1,36.0,0,0,85,0
2,66,0,24.0,0,0,85,1
2,200,0,40.0,0,0,85,1
3,858,0,34.0,1,0,109,1
3,52,1,3.0,1,1,107,1
3,513,1,42.0,0,0,54,0
3,593,1,23.0,0,0,60,0
1,370,1,43.0,0,0,167,0
3,684,1,15.0,1,1,17,0
3,506,1,25.0,1,0,112,0
3,717,1,23.0,0,0,16,0
3,542,1,28.0,0,0,64,0
1,125,0,22.0,0,1,190,1
2,80,0,38.0,0,0,85,0
3,211,0,22.0,0,0,38,1
3,143,0,23.0,0,0,38,1
3,718,1,40.0,1,4,147,0
2,664,1,29.0,1,0,145,0
3,756,0,45.0,0,1,94,0
3,242,1,35.0,0,0,12,0
3,693,1,27.0,1,0,102,0
3,570,1,30.0,0,0,18,0
1,796,0,60.0,1,0,209,1
3,763,0,35.0,0,0,17,1
3,81,0,22.0,0,0,30,1
1,239,0,24.0,0,0,204,1
1,389,1,25.0,1,0,191,1
3,454,1,18.0,1,0,6,0
3,746,1,19.0,0,0,43,0
1,661,1,22.0,0,0,235,0
3,228,0,3.0,3,1,124,0
1,782,0,25.0,1,0,220,1
3,87,0,22.0,0,0,18,1
1,418,1,27.0,0,2,241,0
3,682,1,20.0,0,0,1,0
3,523,1,19.0,0,0,31,0
1,221,0,42.0,0,0,243,1
3,195,0,1.0,0,2,104,1
3,518,1,32.0,0,0,41,0
1,770,0,35.0,1,0,187,1
3,704,1,27.0,0,0,40,0
2,310,1,18.0,0,0,208,0
3,45,1,1.0,5,2,179,0
2,161,0,36.0,0,0,85,1
3,564,1,19.0,0,0,26,0
2,91,0,17.0,0,0,77,1
1,729,1,36.0,1,2,232,1
3,297,1,21.0,0,0,33,1
3,472,1,28.0,2,0,41,0
1,203,0,23.0,1,0,231,1
3,811,0,24.0,0,2,110,1
3,355,1,22.0,0,0,33,0
3,111,0,31.0,0,0,36,0
2,619,1,46.0,0,0,138,0
2,4,1,23.0,0,0,72,0
2,875,0,28.0,0,0,83,1
3,516,1,39.0,0,0,41,1
3,484,1,26.0,0,0,43,0
3,194,0,21.0,1,0,66,0
3,610,1,28.0,1,0,106,0
3,199,0,20.0,0,0,54,0
2,666,1,34.0,1,0,123,0
3,298,1,51.0,0,0,30,0
2,53,1,3.0,1,1,114,1
3,414,1,21.0,0,0,31,0
3,152,0,3.0,3,1,134,0
3,701,1,42.0,0,0,40,0
3,426,1,27.0,0,0,8,0
1,103,0,33.0,1,0,225,1
2,256,1,22.0,0,0,0,0
3,477,1,44.0,0,0,41,1
3,855,0,32.0,0,0,43,0
2,817,0,34.0,1,1,161,1
2,178,0,18.0,0,2,85,1
2,740,1,30.0,0,0,85,0
3,98,0,10.0,0,2,133,0
3,320,1,21.0,0,0,27,0
3,543,1,29.0,0,0,37,0
3,792,0,28.0,1,1,93,0
3,710,1,18.0,1,1,119,0
3,625,1,54.0,0,0,18,0
2,779,0,28.0,1,0,138,1
2,163,0,19.0,0,0,138,1
3,458,1,28.0,0,0,30,0
3,291,1,32.0,0,0,43,1
1,569,1,28.0,0,0,143,1
3,843,0,33.0,1,0,109,1
2,777,0,42.0,1,0,138,1
3,590,1,17.0,0,0,14,0
1,724,1,50.0,1,0,192,0
1,175,0,14.0,1,2,232,1
3,105,0,21.0,2,2,165,0
2,850,0,24.0,2,3,114,1
1,559,1,64.0,1,4,246,0
2,476,1,31.0,0,0,72,0
2,774,0,45.0,1,1,139,1
3,544,1,20.0,0,0,64,0
3,474,1,25.0,1,0,31,0
2,878,0,28.0,0,0,85,1
3,293,1,29.0,0,0,44,1
1,50,1,4.0,0,2,219,1
2,182,0,13.0,0,1,117,1
1,379,1,34.0,0,0,143,1
3,196,0,5.0,2,1,116,1
1,14,1,52.0,0,0,155,1
2,343,1,36.0,1,2,146,0
3,444,1,28.0,1,0,118,0
1,290,1,30.0,0,0,146,0
1,660,1,49.0,1,0,224,1
3,511,1,24.0,0,0,43,0
3,445,1,29.0,0,0,40,1
1,372,1,65.0,0,0,143,0
1,802,0,41.0,1,0,186,1
2,122,0,50.0,0,0,72,1
3,567,1,17.0,0,0,30,0
1,416,1,48.0,0,0,143,1
3,744,1,34.0,0,0,43,0
1,278,1,47.0,0,0,171,0
2,450,1,48.0,0,0,85,0
3,669,1,34.0,0,0,43,0
3,557,1,38.0,0,0,12,0
2,727,1,21.0,0,0,0,0
1,501,1,56.0,0,0,143,0
3,465,1,22.0,0,0,25,0
3,145,0,0.75,2,1,116,1
3,279,1,39.0,0,0,18,0
3,552,1,38.0,0,0,54,0
2,787,0,33.0,1,2,146,1
2,771,0,23.0,0,0,88,1
3,153,0,22.0,0,0,67,0
1,399,1,40.0,0,0,187,0
2,621,1,34.0,1,0,123,0
3,549,1,29.0,1,0,11,0
3,591,1,22.0,0,0,21,0
3,149,0,2.0,0,1,79,1
3,36,1,9.0,5,2,179,0
2,271,1,37.0,0,0,0,0
3,641,1,50.0,0,0,43,0
3,760,0,63.0,0,0,65,1
1,326,1,25.0,1,0,226,1
3,157,0,8.0,3,1,134,0
1,801,0,35.0,1,0,225,1
1,335,1,58.0,0,0,152,0
3,374,1,30.0,0,0,43,0
3,21,1,9.0,1,1,107,1
3,531,1,19.0,1,0,118,0
3,344,1,21.0,0,0,18,0
1,420,1,55.0,0,0,155,0
1,630,1,71.0,0,0,182,0
3,340,1,21.0,0,0,43,0
3,402,1,26.0,0,0,95,0
1,117,0,54.0,1,0,214,1
3,387,1,55.0,0,0,100,0
1,812,0,25.0,1,2,237,0
3,597,1,24.0,0,0,33,0
3,616,1,17.0,0,0,54,0
3,206,0,21.0,0,0,30,0
3,93,0,21.0,0,0,23,0
3,170,0,37.0,0,0,65,0
1,219,0,16.0,0,0,223,1
1,709,1,18.0,1,0,229,0
2,799,0,33.0,0,2,138,1
1,391,1,37.0,0,0,143,1
3,428,1,28.0,0,0,128,0
3,367,1,26.0,0,0,193,1
3,365,1,29.0,0,0,30,1
3,466,1,66.0,0,0,43,0
1,464,1,36.0,0,0,141,1
1,837,0,54.0,1,0,197,1
3,663,1,24.0,0,0,20,0
1,722,1,47.0,0,0,164,0
2,754,0,34.0,0,0,72,1
3,606,1,30.0,0,0,133,0
2,870,0,36.0,1,0,138,1
3,675,1,32.0,0,0,40,0
1,79,0,30.0,0,0,227,1
3,468,1,22.0,0,0,40,0
3,662,1,35.0,0,0,16,0
1,835,0,44.0,0,1,196,1
3,368,1,18.0,0,0,17,0
3,457,1,40.5,0,0,30,0
2,176,0,50.0,0,0,72,1
1,490,1,49.0,0,0,242,0
3,480,1,39.0,0,0,41,0
2,640,1,23.0,2,1,76,0
2,217,0,2.0,1,1,138,1
3,582,1,17.0,0,0,17,0
3,509,1,17.0,1,1,17,0
3,776,0,24.0,0,2,127,1
3,198,0,30.0,0,0,54,0
2,131,0,7.0,0,2,139,1
1,13,1,45.0,0,0,143,0
1,90,0,30.0,0,0,228,1
3,656,1,69.0,0,0,96,0
1,140,0,22.0,0,2,181,1
1,139,0,36.0,0,2,206,1
3,154,0,9.0,4,2,158,0
3,225,0,11.0,4,2,158,0
2,336,1,32.0,1,0,138,1
1,713,1,50.0,1,0,228,0
1,277,1,64.0,0,0,138,0
2,783,0,19.0,1,0,138,1
2,519,1,27.0,0,0,90,1
3,377,1,33.0,1,1,121,0
2,39,1,8.0,1,1,169,1
1,485,1,17.0,0,2,230,1
2,612,1,27.0,0,0,138,0
3,700,1,21.0,0,0,35,0
3,366,1,22.0,0,0,16,1
3,234,0,22.0,0,0,31,1
1,400,1,62.0,0,0,143,0
1,12,0,48.0,1,0,174,1
1,707,1,45.0,0,0,243,0
1,790,0,39.0,1,1,217,1
3,806,0,36.0,1,0,111,1
3,694,1,30.0,0,0,30,0
3,439,1,40.0,0,0,40,0
2,647,1,28.0,0,0,87,0
3,502,1,40.0,0,0,43,0
3,55,0,62.0,0,0,43,0
3,259,1,24.0,2,0,133,0
3,442,1,19.0,0,0,40,0
3,839,0,29.0,0,4,124,0
3,683,1,28.0,0,0,17,0
3,296,1,32.0,0,0,36,1
2,394,1,62.0,0,0,72,1
1,785,0,53.0,2,0,185,1
1,500,1,36.0,0,0,142,1
3,209,0,22.0,0,0,30,1
3,258,1,16.0,0,0,43,0
3,398,1,19.0,0,0,96,0
2,129,0,34.0,0,0,85,1
1,873,0,39.0,1,0,192,1
3,828,0,18.0,1,0,95,0
3,346,1,32.0,0,0,41,1
2,160,0,25.0,1,1,153,1
1,821,0,39.0,1,1,230,1
2,737,1,54.0,0,0,138,0
1,499,1,36.0,0,0,176,0
3,703,1,16.0,0,0,56,0
1,222,0,18.0,0,2,217,1
2,489,1,47.0,0,0,97,0
1,571,1,60.0,1,1,216,1
3,347,1,22.0,0,0,43,0
3,510,1,22.0,0,0,43,0
3,566,1,35.0,0,0,14,0
1,863,0,52.0,1,0,214,1
3,738,1,47.0,0,0,18,0
3,205,0,40.0,0,2,30,0
2,496,1,37.0,1,0,138,0
3,469,1,36.0,1,1,133,0
2,158,0,31.0,0,0,162,1
3,260,1,49.0,0,0,0,0
3,410,1,18.0,0,0,16,0
1,885,1,49.0,1,0,194,1
2,851,0,24.0,2,1,144,1
3,617,1,42.0,0,0,40,0
1,306,1,37.0,0,0,178,0
3,363,1,44.0,0,0,43,0
1,419,1,35.0,0,0,143,1
3,332,1,36.0,1,0,103,0
3,574,1,30.0,0,0,40,0
1,651,1,27.0,0,0,155,1
2,827,0,22.0,1,2,177,1
1,118,0,40.0,0,0,238,1
3,772,0,39.0,1,5,158,0
3,505,1,21.0,0,0,12,0
3,189,0,18.0,1,0,102,1
3,498,1,22.0,0,0,30,0
3,720,1,35.0,0,0,43,0
2,62,0,24.0,1,2,202,1
3,361,1,34.0,1,1,93,0
3,871,0,26.0,1,0,109,0
2,201,0,4.0,2,1,172,1
2,537,1,26.0,0,0,72,0
3,272,1,27.0,1,0,94,0
1,342,1,42.0,1,0,188,1
3,654,1,20.0,1,1,104,1
3,425,1,21.0,0,0,36,0
3,322,1,21.0,0,0,109,0
1,385,1,61.0,0,0,160,0
2,879,1,57.0,0,0,80,0
1,135,0,21.0,0,0,213,1
3,403,1,26.0,0,0,40,0
3,604,1,18.0,0,0,27,0
1,262,1,80.0,0,0,153,1
3,479,1,51.0,0,0,13,0
1,9,1,32.0,0,0,155,1
1,734,1,30.0,0,0,0,0
3,180,0,9.0,3,2,147,0
2,208,0,28.0,0,0,85,1
3,273,1,32.0,0,0,41,0
2,421,1,31.0,1,1,139,0
3,830,0,41.0,0,5,175,0
3,613,1,37.0,1,0,109,0
3,415,1,20.0,0,0,36,0
1,238,0,24.0,0,0,204,1
3,192,0,2.0,3,2,147,0
3,313,1,32.0,0,0,193,1
3,130,0,0.75,2,1,116,1
1,432,1,48.0,1,0,211,1
3,551,1,19.0,0,0,40,0
1,2,1,56.0,0,0,168,1
3,341,1,21.0,0,0,22,0
3,68,0,23.0,0,0,22,1
3,578,1,23.0,0,0,40,0
2,124,0,18.0,0,1,129,1
3,482,1,21.0,0,0,50,0
3,138,0,16.0,0,0,35,1
3,137,0,18.0,0,0,7,0
2,546,1,24.0,2,0,208,0
3,253,1,27.0,0,0,40,0
3,820,0,32.0,1,1,102,0
2,393,1,23.0,0,0,85,0
1,280,1,58.0,0,2,231,0
1,8,1,50.0,2,0,233,1
3,580,1,40.0,0,0,16,0
1,339,1,47.0,0,0,135,0
3,609,1,36.0,0,0,20,0
3,345,1,20.0,1,0,41,1
2,548,1,32.0,2,0,208,0
2,632,1,25.0,0,0,85,0
3,530,1,49.0,0,0,31,0
3,451,1,43.0,0,0,43,0
1,789,0,48.0,1,0,187,1
2,860,0,40.0,1,1,172,1
1,697,1,31.0,1,0,187,0
2,429,1,70.0,0,0,72,0
2,312,1,31.0,0,0,85,1
2,353,1,19.0,0,0,0,0
3,405,1,18.0,0,0,31,0
3,380,1,24.5,0,0,43,0
3,77,0,18.0,0,0,68,1
3,798,0,43.0,1,6,179,0
1,688,1,36.0,0,1,247,1
3,167,0,28.0,0,0,45,0
1,408,1,27.0,0,0,211,1
3,696,1,20.0,0,0,60,0
3,303,1,14.0,5,2,179,0
2,695,1,60.0,1,1,172,0
2,512,1,25.0,1,2,177,0
3,449,1,14.0,4,1,175,0
3,295,1,19.0,0,0,70,0
3,329,1,18.0,0,0,33,0
1,132,0,15.0,0,1,240,1
1,247,1,31.0,1,0,195,1
3,184,0,4.0,0,1,86,1
3,263,1,37.0,0,0,193,1
3,528,1,25.0,0,0,16,0
1,1,1,60.0,0,0,143,0
2,309,1,52.0,0,0,87,0
3,461,1,44.0,0,0,43,0
3,165,0,19.0,0,0,27,1
1,486,1,49.0,1,1,230,0
3,243,1,42.0,0,0,24,0
1,824,0,18.0,1,0,243,1
1,672,1,35.0,0,0,141,1
3,223,0,18.0,0,1,94,0
3,560,1,25.0,0,0,29,0
3,422,1,26.0,1,0,36,0
2,431,1,39.0,0,0,138,0
2,794,0,45.0,0,0,87,1
1,338,1,42.0,0,0,141,1
1,60,0,22.0,0,0,237,1
3,33,1,4.0,1,1,101,1
1,237,0,24.0,0,0,182,1
1,434,1,41.0,0,0,143,0
1,348,1,48.0,1,0,187,1
3,284,1,29.0,0,0,63,0
2,658,1,52.0,0,0,85,0
3,618,1,19.0,0,0,24,0
1,97,0,38.0,0,0,243,1
2,108,0,27.0,0,0,72,1
3,554,1,33.0,0,0,31,0
2,82,0,6.0,0,1,162,1
3,681,1,17.0,1,0,13,0
2,733,1,34.0,0,0,85,0
2,430,1,50.0,0,0,85,0
1,594,1,27.0,1,0,189,1
3,553,1,20.0,0,0,54,0
2,844,0,30.0,3,0,123,1
3,191,0,28.0,0,0,28,1
2,533,1,25.0,1,0,138,0
3,218,0,25.0,1,0,41,0
1,112,0,29.0,0,0,240,1
3,435,1,11.0,0,0,115,0
2,648,1,41.0,0,0,0,0
2,739,1,23.0,0,0,85,0
2,581,1,23.0,0,0,85,0
3,547,1,28.5,0,0,109,0
3,784,0,48.0,1,3,165,0
1,407,1,35.0,0,0,247,1
3,520,1,20.0,0,0,40,0
3,577,1,32.0,0,0,40,0
1,715,1,45.0,0,0,153,1
1,702,1,36.0,1,0,215,0
1,229,0,21.0,2,2,245,1
3,584,1,24.0,1,0,109,0
3,517,1,31.0,0,0,41,1
1,0,1,70.0,1,1,206,0
3,653,1,16.0,1,1,120,0
2,74,0,30.0,0,0,85,1
1,319,1,19.0,1,0,189,0
3,572,1,31.0,0,0,30,0
2,159,0,4.0,1,1,129,1
3,42,1,6.0,0,1,81,1
3,483,1,33.0,0,0,64,0
3,534,1,23.0,0,0,40,0
2,848,0,48.0,1,2,202,1
2,49,1,0.67,1,1,96,1
3,283,1,28.0,0,0,33,0
2,615,1,18.0,0,0,76,0
3,692,1,34.0,0,0,43,0
1,886,0,33.0,0,0,223,1
3,493,1,23.0,0,0,96,0
3,441,1,41.0,0,0,14,0
3,409,1,20.0,0,0,17,1
1,874,0,36.0,1,2,232,1
3,413,1,16.0,0,0,31,0
1,823,0,51.0,1,0,213,1
1,6,1,46.0,0,0,174,0
3,210,0,30.5,0,0,30,0
3,318,1,28.0,1,0,133,0
3,317,1,32.0,0,0,48,0
3,634,1,24.0,0,0,64,0
3,588,1,48.0,0,0,36,0
2,765,0,57.0,0,0,72,0
3,325,1,29.0,0,0,16,0
2,788,0,54.0,1,3,129,1
3,608,1,18.0,0,0,30,0
